Year,Region,Season,Soil Type,Soil pH,Soil Nitrogen,Soil Phosphorus,Soil Potassium,Soil Organic Matter (%),Soil Moisture (%),Avg Rainfall (mm),Solar Radiation Impact (BTU/sqft),Rotation Sequence,Crop_Planted (Action),Growth Duration (days),Water Requirement (mm),Phosphorus Requirement (kg/ha),Potassium Requirement (kg/ha),Nitrogen Requirement (kg/ha),Base Yield (kg/ha),Simulated Yield (kg/ha),Soil Score Before,Soil Score After
2012,Punjab,Zaid,Alluvial,6.57,123.36,22.4,77.88,2.82,20.32,600,23,"['Groundnut', 'Pigeon Pea', 'Tomato']",Tomato,80,350,20,30,70,10000,11200.22,0.85,0.86
2002,Daman and Diu,Rabi,Alluvial,7.12,85.72,25.47,67.13,3.78,22.75,800,27,"['Maize', 'Pigeon Pea', 'Cucumber']",Pigeon Pea,120,600,30,40,50,1800,1528.29,0.85,0.85
2005,Bihar,Rabi,Alluvial,6.93,103.47,37.05,50.38,2.89,24.96,1100,22,"['Maize', 'Chickpea', 'Chili']",Chickpea,90,350,20,25,50,1000,1852.28,0.87,0.87
2018,Madhya Pradesh,Zaid,Red,6.09,66.45,16.59,57.56,1.49,11.66,1000,27,"['Groundnut', 'Chickpea', 'Tomato']",Tomato,80,350,20,30,70,10000,8295.85,0.57,0.58
2000,Haryana,Zaid,Alluvial,7.5,96.61,31.56,52.94,4.81,18.37,700,24,"['Maize', 'Chickpea', 'Tomato']",Tomato,80,350,20,30,70,10000,15181.22,0.87,0.88
2004,Andhra Pradesh,Kharif,Loamy,6.09,89.55,47.07,87.65,3.12,15.59,900,20,"['Soybean', 'Chickpea', 'Chili']",Soybean,100,500,25,35,50,2000,3582.04,0.88,0.88
2019,Jammu & Kashmir,Kharif,Alluvial,6.97,128.62,32.17,65.67,3.56,18.86,900,20,"['Groundnut', 'Chickpea', 'Chili']",Groundnut,90,400,20,30,50,1200,1930.06,0.89,0.89
2010,Gujarat,Kharif,Sandy,6.02,87.32,15.96,45.71,1.86,10.19,800,30,"['Rice', 'Chickpea', 'Tomato']",Rice,140,1500,40,60,100,4000,1595.88,0.57,0.57
2008,Chandigarh,Rabi,Alluvial,7.31,88.91,21.56,75.11,4.93,15.88,700,22,"['Soybean', 'Chickpea', 'Tomato']",Chickpea,90,350,20,25,50,1000,1077.77,0.84,0.85
2009,Andhra Pradesh,Zaid,Loamy,6.43,102.79,42.69,61.47,3.27,24.62,900,20,"['Soybean', 'Chickpea', 'Chili']",Chili,70,300,15,20,60,1500,2826.72,0.92,0.93
2000,Tripura,Zaid,Forest,6.65,95.93,34.04,60.14,5.72,28.44,2000,16,"['Groundnut', 'Pigeon Pea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,7914.54,0.99,1.0
2015,Tamil Nadu,Zaid,Alluvial,7.23,126.65,36.11,78.76,4.86,21.19,950,27,"['Groundnut', 'Chickpea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,10448.5,1.0,1.02
2002,Daman and Diu,Rabi,Sandy,5.6,74.85,10.19,30.68,1.1,8.0,800,27,"['Groundnut', 'Pigeon Pea', 'Cucumber']",Pigeon Pea,120,600,30,40,50,1800,611.61,0.45,0.46
2009,Ladakh,Zaid,Sandy,5.95,56.76,18.58,47.93,1.77,14.41,200,12,"['Rice', 'Pigeon Pea', 'Okra']",Okra,60,250,15,20,50,2000,1600.0,0.58,0.58
2014,Himachal Pradesh,Rabi,Laterite,5.34,85.75,23.05,46.78,2.77,9.13,1200,16,"['Groundnut', 'Pigeon Pea', 'Okra']",Pigeon Pea,120,600,30,40,50,1800,1382.96,0.61,0.62
2017,Lakshadweep,Rabi,Sandy,6.65,65.99,11.68,25.82,1.39,14.62,1500,32,"['Groundnut', 'Chickpea', 'Cucumber']",Chickpea,90,350,20,25,50,1000,583.78,0.52,0.53
2018,Kerala,Zaid,Alluvial,6.73,127.58,32.91,63.66,3.4,19.11,3000,19,"['Rice', 'Pigeon Pea', 'Tomato']",Tomato,80,350,20,30,70,10000,16456.47,0.88,0.9
2003,Meghalaya,Zaid,Laterite,5.88,86.84,15.23,35.97,2.86,6.75,2500,15,"['Soybean', 'Pigeon Pea', 'Okra']",Okra,60,250,15,20,50,2000,2030.78,0.55,0.56
2015,Dadra and Nagar Haveli,Zaid,Laterite,5.95,115.06,22.31,49.13,2.31,5.85,1800,25,"['Soybean', 'Pigeon Pea', 'Tomato']",Tomato,80,350,20,30,70,10000,11154.82,0.62,0.64
2000,Maharashtra,Zaid,Black,6.46,133.79,36.6,97.19,4.83,29.09,900,26,"['Rice', 'Chickpea', 'Chili']",Chili,70,300,15,20,60,1500,3660.14,1.1,1.12
2009,Kerala,Zaid,Laterite,5.48,99.64,12.41,35.7,2.43,5.5,3000,19,"['Groundnut', 'Chickpea', 'Chili']",Chili,70,300,15,20,60,1500,1240.83,0.52,0.54
2004,Daman and Diu,Kharif,Sandy,6.05,67.33,17.5,33.76,1.16,7.52,800,27,"['Soybean', 'Chickpea', 'Okra']",Soybean,100,500,25,35,50,2000,1399.93,0.48,0.48
2007,Chandigarh,Kharif,Alluvial,7.26,87.43,29.01,64.3,2.14,15.53,700,22,"['Soybean', 'Chickpea', 'Tomato']",Soybean,100,500,25,35,50,2000,2320.89,0.75,0.75
2018,Andaman and Nicobar Islands,Zaid,Sandy,5.96,66.66,17.98,24.86,1.62,10.06,3000,30,"['Soybean', 'Chickpea', 'Tomato']",Tomato,80,350,20,30,70,10000,8287.76,0.5,0.51
2015,Mizoram,Zaid,Laterite,5.09,101.77,14.76,47.5,1.97,8.34,2200,14,"['Rice', 'Pigeon Pea', 'Tomato']",Tomato,80,350,20,30,70,10000,7382.45,0.56,0.57
2005,Assam,Rabi,Alluvial,7.03,123.72,20.02,65.91,2.64,15.94,2200,18,"['Maize', 'Pigeon Pea', 'Tomato']",Pigeon Pea,120,600,30,40,50,1800,1201.31,0.78,0.78
2017,Nagaland,Rabi,Laterite,5.82,113.28,14.25,41.01,2.22,13.7,1800,16,"['Rice', 'Chickpea', 'Tomato']",Chickpea,90,350,20,25,50,1000,712.51,0.63,0.63
2012,Nagaland,Zaid,Laterite,5.55,87.49,19.69,33.48,1.19,11.6,1800,16,"['Soybean', 'Pigeon Pea', 'Tomato']",Tomato,80,350,20,30,70,10000,9846.4,0.54,0.55
2008,Meghalaya,Rabi,Laterite,5.06,77.62,16.17,53.69,2.78,12.03,2500,15,"['Rice', 'Pigeon Pea', 'Chili']",Pigeon Pea,120,600,30,40,50,1800,969.92,0.6,0.6
2013,Uttarakhand,Kharif,Mountain,6.41,61.78,16.19,47.65,3.9,17.0,1100,18,"['Rice', 'Chickpea', 'Cucumber']",Rice,140,1500,40,60,100,4000,1619.29,0.68,0.68
2016,Kerala,Kharif,Laterite,5.79,103.4,13.55,43.34,2.27,11.37,3000,19,"['Soybean', 'Chickpea', 'Chili']",Soybean,100,500,25,35,50,2000,1084.13,0.6,0.6
2020,Himachal Pradesh,Rabi,Mountain,7.12,64.35,11.01,56.68,2.19,17.98,1200,16,"['Maize', 'Pigeon Pea', 'Tomato']",Pigeon Pea,120,600,30,40,50,1800,660.57,0.65,0.65
2015,Delhi,Zaid,Alluvial,6.66,113.75,31.53,55.18,2.2,22.99,700,24,"['Rice', 'Chickpea', 'Okra']",Okra,60,250,15,20,50,2000,4204.09,0.83,0.84
2007,Dadra and Nagar Haveli,Kharif,Alluvial,6.95,91.02,30.83,76.06,4.32,22.96,1800,25,"['Groundnut', 'Chickpea', 'Okra']",Groundnut,90,400,20,30,50,1200,1849.5,0.91,0.91
2006,Goa,Zaid,Laterite,5.07,106.47,22.48,36.35,2.28,5.4,3000,28,"['Groundnut', 'Pigeon Pea', 'Tomato']",Tomato,80,350,20,30,70,10000,11237.91,0.56,0.57
2005,Tripura,Rabi,Alluvial,7.21,81.22,31.6,75.21,3.14,15.45,2000,16,"['Maize', 'Chickpea', 'Cucumber']",Chickpea,90,350,20,25,50,1000,1579.77,0.81,0.81
2020,Chhattisgarh,Rabi,Red,5.73,95.86,23.68,46.9,1.03,16.95,1300,25,"['Maize', 'Pigeon Pea', 'Chili']",Pigeon Pea,120,600,30,40,50,1800,1420.6,0.64,0.64
2008,Ladakh,Rabi,Sandy,6.57,81.43,14.5,27.86,1.03,8.13,200,12,"['Groundnut', 'Pigeon Pea', 'Cucumber']",Pigeon Pea,120,600,30,40,50,1800,600.0,0.49,0.5
2016,Uttarakhand,Kharif,Mountain,6.04,73.64,10.4,51.65,3.76,15.69,1100,18,"['Maize', 'Pigeon Pea', 'Chili']",Maize,110,600,35,50,80,6000,1783.65,0.65,0.65
2018,Jharkhand,Zaid,Red,6.31,60.28,17.06,53.18,1.29,19.02,1000,21,"['Rice', 'Pigeon Pea', 'Chili']",Chili,70,300,15,20,60,1500,1657.82,0.62,0.63
2015,Bihar,Zaid,Alluvial,6.64,86.92,27.16,62.64,3.76,22.73,1100,22,"['Soybean', 'Pigeon Pea', 'Tomato']",Tomato,80,350,20,30,70,10000,13580.55,0.84,0.85
2002,Rajasthan,Rabi,Alluvial,7.03,100.51,25.01,72.75,2.9,23.06,400,35,"['Groundnut', 'Pigeon Pea', 'Cucumber']",Pigeon Pea,120,600,30,40,50,1800,1200.0,0.85,0.87
2015,Goa,Zaid,Laterite,5.94,83.79,17.62,46.92,2.89,7.67,3000,28,"['Maize', 'Pigeon Pea', 'Tomato']",Tomato,80,350,20,30,70,10000,8810.2,0.59,0.6
2007,Punjab,Kharif,Alluvial,6.69,129.72,26.96,72.82,2.4,19.54,600,23,"['Maize', 'Pigeon Pea', 'Tomato']",Maize,110,600,35,50,80,6000,4622.49,0.85,0.85
2017,Puducherry,Rabi,Red,6.03,96.26,18.2,58.45,1.9,11.59,1200,26,"['Soybean', 'Chickpea', 'Okra']",Chickpea,90,350,20,25,50,1000,909.9,0.63,0.65
2000,Manipur,Zaid,Laterite,5.27,118.97,20.17,57.05,1.27,13.3,1800,17,"['Rice', 'Chickpea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,6050.01,0.65,0.66
2005,Bihar,Rabi,Alluvial,6.94,81.53,22.51,54.17,2.55,23.03,1100,22,"['Rice', 'Chickpea', 'Cucumber']",Chickpea,90,350,20,25,50,1000,1125.66,0.76,0.76
2008,Mizoram,Rabi,Laterite,5.41,105.16,10.4,43.5,2.66,12.38,2200,14,"['Soybean', 'Pigeon Pea', 'Chili']",Pigeon Pea,120,600,30,40,50,1800,623.72,0.6,0.62
2012,Telangana,Zaid,Black,6.05,133.07,48.25,103.49,4.2,28.63,800,28,"['Groundnut', 'Pigeon Pea', 'Tomato']",Tomato,80,350,20,30,70,10000,20911.42,1.12,1.14
2009,Bihar,Zaid,Alluvial,7.2,114.82,38.81,57.52,4.08,23.09,1100,22,"['Maize', 'Pigeon Pea', 'Tomato']",Tomato,80,350,20,30,70,10000,18042.72,0.94,0.96
2019,Nagaland,Kharif,Laterite,5.18,102.15,20.31,41.12,2.75,13.43,1800,16,"['Rice', 'Pigeon Pea', 'Tomato']",Rice,140,1500,40,60,100,4000,2030.86,0.64,0.64
2012,Tamil Nadu,Zaid,Alluvial,7.04,101.6,20.8,50.52,3.94,20.41,950,27,"['Maize', 'Pigeon Pea', 'Tomato']",Tomato,80,350,20,30,70,10000,10400.41,0.8,0.82
2014,Dadra and Nagar Haveli,Rabi,Laterite,5.86,82.85,15.42,55.78,2.88,7.2,1800,25,"['Soybean', 'Chickpea', 'Okra']",Chickpea,90,350,20,25,50,1000,771.22,0.59,0.6
2008,Jammu & Kashmir,Rabi,Alluvial,7.14,109.14,36.84,78.53,3.68,16.81,900,20,"['Rice', 'Chickpea', 'Okra']",Chickpea,90,350,20,25,50,1000,1841.86,0.9,0.9
2016,Manipur,Kharif,Laterite,5.25,110.43,15.3,32.14,2.38,8.39,1800,17,"['Groundnut', 'Pigeon Pea', 'Cucumber']",Groundnut,90,400,20,30,50,1200,918.0,0.56,0.56
2017,Andaman and Nicobar Islands,Rabi,Alluvial,7.31,128.48,34.91,64.74,3.8,16.42,3000,30,"['Soybean', 'Chickpea', 'Cucumber']",Chickpea,90,350,20,25,50,1000,1745.32,0.9,0.91
2011,Himachal Pradesh,Rabi,Mountain,6.32,74.64,23.05,39.17,2.48,14.88,1200,16,"['Soybean', 'Chickpea', 'Chili']",Chickpea,90,350,20,25,50,1000,1152.63,0.64,0.65
2001,Tripura,Kharif,Alluvial,7.45,117.67,25.42,68.9,2.07,21.29,2000,16,"['Soybean', 'Chickpea', 'Cucumber']",Soybean,100,500,25,35,50,2000,2033.98,0.84,0.84
2014,Daman and Diu,Rabi,Alluvial,7.1,118.91,25.87,71.24,4.1,16.85,800,27,"['Soybean', 'Chickpea', 'Tomato']",Chickpea,90,350,20,25,50,1000,1293.42,0.87,0.88
2006,Andhra Pradesh,Zaid,Alluvial,6.94,122.75,29.3,69.82,2.07,17.5,900,20,"['Groundnut', 'Pigeon Pea', 'Okra']",Okra,60,250,15,20,50,2000,3906.78,0.82,0.84
2014,Karnataka,Rabi,Red,6.23,77.76,17.47,54.2,2.46,16.24,900,23,"['Maize', 'Pigeon Pea', 'Okra']",Pigeon Pea,120,600,30,40,50,1800,1047.92,0.66,0.66
2000,Chhattisgarh,Zaid,Laterite,5.02,84.67,21.93,42.07,2.33,14.34,1300,25,"['Groundnut', 'Chickpea', 'Tomato']",Tomato,80,350,20,30,70,10000,10965.37,0.61,0.63
2003,Dadra and Nagar Haveli,Zaid,Laterite,5.76,83.38,12.29,53.05,1.87,6.77,1800,25,"['Rice', 'Chickpea', 'Okra']",Okra,60,250,15,20,50,2000,1638.73,0.53,0.55
2005,Goa,Rabi,Sandy,5.96,66.98,18.34,34.39,1.59,13.74,3000,28,"['Groundnut', 'Chickpea', 'Tomato']",Chickpea,90,350,20,25,50,1000,917.02,0.55,0.56
2017,Assam,Rabi,Alluvial,7.39,124.47,35.04,50.14,3.22,19.11,2200,18,"['Soybean', 'Pigeon Pea', 'Cucumber']",Pigeon Pea,120,600,30,40,50,1800,2102.14,0.87,0.88
2015,Arunachal Pradesh,Zaid,Forest,6.9,72.66,25.42,55.91,7.21,26.19,2500,15,"['Rice', 'Chickpea', 'Okra']",Okra,60,250,15,20,50,2000,3196.94,0.95,0.96
2020,Assam,Rabi,Alluvial,6.56,110.37,23.8,61.48,4.87,17.88,2200,18,"['Groundnut', 'Pigeon Pea', 'Chili']",Pigeon Pea,120,600,30,40,50,1800,1427.81,0.85,0.86
2011,Lakshadweep,Rabi,Sandy,6.34,85.87,12.41,41.18,1.3,5.45,1500,32,"['Groundnut', 'Pigeon Pea', 'Chili']",Pigeon Pea,120,600,30,40,50,1800,744.89,0.5,0.51
2006,Goa,Zaid,Laterite,5.73,90.47,19.26,57.0,2.58,6.94,3000,28,"['Maize', 'Pigeon Pea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,5777.82,0.6,0.62
2014,Haryana,Rabi,Alluvial,6.83,106.8,22.36,69.55,2.2,16.0,700,24,"['Groundnut', 'Chickpea', 'Cucumber']",Chickpea,90,350,20,25,50,1000,1117.88,0.76,0.77
2007,Lakshadweep,Kharif,Coral,7.52,37.58,9.47,7.27,0.73,2.58,1500,32,"['Rice', 'Pigeon Pea', 'Chili']",Rice,140,1500,40,60,100,4000,484.51,0.33,0.33
2013,Nagaland,Kharif,Laterite,5.83,80.61,14.4,44.15,1.47,7.46,1800,16,"['Groundnut', 'Pigeon Pea', 'Cucumber']",Groundnut,90,400,20,30,50,1200,864.19,0.51,0.51
2017,Sikkim,Rabi,Mountain,7.22,67.11,10.67,40.14,2.86,10.62,2000,17,"['Maize', 'Chickpea', 'Tomato']",Chickpea,90,350,20,25,50,1000,533.59,0.58,0.58
2005,Odisha,Rabi,Alluvial,7.5,100.92,37.1,66.92,4.13,23.87,1500,25,"['Groundnut', 'Chickpea', 'Cucumber']",Chickpea,90,350,20,25,50,1000,1854.82,0.95,0.96
2018,Telangana,Zaid,Black,6.5,124.76,48.53,95.38,3.28,23.03,800,28,"['Groundnut', 'Chickpea', 'Okra']",Okra,60,250,15,20,50,2000,5489.32,1.03,1.05
2012,Himachal Pradesh,Zaid,Laterite,5.15,110.53,10.54,47.0,1.74,13.92,1200,16,"['Maize', 'Chickpea', 'Chili']",Chili,70,300,15,20,60,1500,1054.2,0.59,0.61
2017,West Bengal,Rabi,Alluvial,7.49,128.55,26.9,72.25,4.65,16.86,1500,20,"['Groundnut', 'Chickpea', 'Chili']",Chickpea,90,350,20,25,50,1000,1345.03,0.91,0.93
2002,Puducherry,Rabi,Alluvial,7.49,88.89,23.46,68.49,3.69,16.76,1200,26,"['Rice', 'Pigeon Pea', 'Okra']",Pigeon Pea,120,600,30,40,50,1800,1407.67,0.8,0.8
2010,Telangana,Kharif,Alluvial,7.45,84.85,22.41,67.52,4.94,20.72,800,28,"['Soybean', 'Pigeon Pea', 'Okra']",Soybean,100,500,25,35,50,2000,1792.91,0.87,0.87
2012,Sikkim,Zaid,Alluvial,6.53,101.79,30.0,70.92,3.1,23.64,2000,17,"['Soybean', 'Pigeon Pea', 'Okra']",Okra,60,250,15,20,50,2000,4000.02,0.87,0.88
2007,Goa,Kharif,Sandy,6.95,54.5,11.31,45.27,1.84,9.71,3000,28,"['Groundnut', 'Chickpea', 'Tomato']",Groundnut,90,400,20,30,50,1200,678.49,0.52,0.52
2008,Puducherry,Rabi,Red,5.76,98.68,26.07,50.25,3.0,18.49,1200,26,"['Groundnut', 'Chickpea', 'Chili']",Chickpea,90,350,20,25,50,1000,1303.37,0.74,0.76
2005,Kerala,Rabi,Laterite,5.67,117.85,21.96,43.26,2.08,11.07,3000,19,"['Groundnut', 'Pigeon Pea', 'Okra']",Pigeon Pea,120,600,30,40,50,1800,1317.32,0.64,0.66
2000,Jharkhand,Zaid,Laterite,5.67,99.67,14.25,33.27,2.37,6.43,1000,21,"['Soybean', 'Pigeon Pea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,4274.62,0.53,0.55
2004,Haryana,Kharif,Alluvial,7.25,120.51,22.79,73.5,5.0,23.51,700,24,"['Rice', 'Pigeon Pea', 'Cucumber']",Rice,140,1500,40,60,100,4000,1866.67,0.95,0.95
2000,Bihar,Zaid,Alluvial,7.29,103.37,31.74,75.14,3.63,22.38,1100,22,"['Soybean', 'Pigeon Pea', 'Chili']",Chili,70,300,15,20,60,1500,2842.73,0.91,0.93
2012,Manipur,Zaid,Laterite,5.38,76.06,18.39,37.95,1.77,5.17,1800,17,"['Soybean', 'Chickpea', 'Okra']",Okra,60,250,15,20,50,2000,2451.47,0.49,0.5
2000,Assam,Zaid,Alluvial,7.47,123.47,20.5,63.75,2.2,24.69,2200,18,"['Soybean', 'Pigeon Pea', 'Okra']",Okra,60,250,15,20,50,2000,2733.96,0.85,0.86
2005,Maharashtra,Rabi,Black,6.18,155.92,30.82,107.34,5.55,29.59,900,26,"['Rice', 'Pigeon Pea', 'Okra']",Pigeon Pea,120,600,30,40,50,1800,1849.41,1.15,1.15
2008,Karnataka,Rabi,Laterite,5.04,89.77,10.48,45.22,2.47,14.77,900,23,"['Groundnut', 'Pigeon Pea', 'Cucumber']",Pigeon Pea,120,600,30,40,50,1800,628.8,0.59,0.6
2014,Uttar Pradesh,Rabi,Alluvial,7.28,102.5,24.85,69.13,2.49,17.84,800,22,"['Soybean', 'Chickpea', 'Okra']",Chickpea,90,350,20,25,50,1000,1242.45,0.79,0.81
2011,Madhya Pradesh,Rabi,Red,6.46,94.54,24.15,41.23,2.53,16.42,1000,27,"['Soybean', 'Chickpea', 'Chili']",Chickpea,90,350,20,25,50,1000,1207.41,0.69,0.71
2006,Mizoram,Zaid,Laterite,5.26,107.44,15.0,51.0,2.93,5.74,2200,14,"['Maize', 'Chickpea', 'Chili']",Chili,70,300,15,20,60,1500,1500.1,0.59,0.6
2010,Andaman and Nicobar Islands,Kharif,Alluvial,6.78,87.92,21.54,77.36,2.7,18.44,3000,30,"['Rice', 'Chickpea', 'Tomato']",Rice,140,1500,40,60,100,4000,2154.01,0.78,0.78
2012,Delhi,Zaid,Alluvial,7.21,100.37,30.68,78.96,2.89,17.48,700,24,"['Rice', 'Pigeon Pea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,8280.21,0.85,0.86
2004,Manipur,Kharif,Forest,6.7,81.96,20.14,60.63,5.75,20.44,1800,17,"['Groundnut', 'Pigeon Pea', 'Cucumber']",Groundnut,90,400,20,30,50,1200,1208.63,0.85,0.85
2017,Arunachal Pradesh,Rabi,Laterite,5.1,78.76,22.96,53.11,2.14,11.42,2500,15,"['Rice', 'Chickpea', 'Tomato']",Chickpea,90,350,20,25,50,1000,1147.78,0.6,0.6
2003,Meghalaya,Zaid,Red,6.32,101.07,21.99,46.7,2.67,12.29,2500,15,"['Soybean', 'Chickpea', 'Tomato']",Tomato,80,350,20,30,70,10000,10993.39,0.67,0.69
2011,Andaman and Nicobar Islands,Rabi,Sandy,6.5,68.81,17.09,32.49,1.89,14.84,3000,30,"['Rice', 'Chickpea', 'Tomato']",Chickpea,90,350,20,25,50,1000,854.32,0.58,0.58
2009,Dadra and Nagar Haveli,Zaid,Laterite,5.49,112.51,11.43,52.01,2.49,10.82,1800,25,"['Rice', 'Pigeon Pea', 'Chili']",Chili,70,300,15,20,60,1500,1143.18,0.62,0.63
2006,Andhra Pradesh,Zaid,Alluvial,7.09,107.14,25.18,60.64,4.68,15.56,900,20,"['Maize', 'Chickpea', 'Okra']",Okra,60,250,15,20,50,2000,3357.65,0.83,0.85
2014,Assam,Rabi,Alluvial,7.13,107.95,37.71,67.37,2.68,15.79,2200,18,"['Soybean', 'Pigeon Pea', 'Okra']",Pigeon Pea,120,600,30,40,50,1800,2262.79,0.84,0.85
2014,Ladakh,Rabi,Mountain,6.99,76.33,17.07,33.08,3.09,13.02,200,12,"['Rice', 'Chickpea', 'Okra']",Chickpea,90,350,20,25,50,1000,571.43,0.62,0.62
2003,Kerala,Zaid,Laterite,5.54,91.56,10.79,59.78,2.02,5.24,3000,19,"['Rice', 'Chickpea', 'Chili']",Chili,70,300,15,20,60,1500,1078.54,0.54,0.55
2000,Ladakh,Zaid,Mountain,6.4,73.7,14.46,50.52,2.15,13.63,200,12,"['Groundnut', 'Chickpea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,2400.0,0.61,0.62
2009,Goa,Zaid,Sandy,6.03,61.08,12.42,46.09,1.63,5.01,3000,28,"['Soybean', 'Chickpea', 'Chili']",Chili,70,300,15,20,60,1500,1242.14,0.47,0.48
2004,Daman and Diu,Kharif,Sandy,6.74,64.69,17.83,36.56,1.95,8.59,800,27,"['Rice', 'Chickpea', 'Chili']",Rice,140,1500,40,60,100,4000,1782.62,0.54,0.54
2003,Ladakh,Zaid,Sandy,6.23,72.13,13.32,27.31,1.82,6.06,200,12,"['Rice', 'Pigeon Pea', 'Chili']",Chili,70,300,15,20,60,1500,1000.0,0.47,0.48
2001,Tamil Nadu,Kharif,Red,6.47,100.96,15.18,64.21,1.27,12.9,950,27,"['Rice', 'Chickpea', 'Tomato']",Rice,140,1500,40,60,100,4000,1517.97,0.64,0.64
2011,Uttar Pradesh,Rabi,Alluvial,7.33,108.48,39.66,56.52,4.96,22.14,800,22,"['Maize', 'Pigeon Pea', 'Tomato']",Pigeon Pea,120,600,30,40,50,1800,2379.75,0.96,0.96
2019,Uttar Pradesh,Kharif,Alluvial,6.73,97.89,20.05,58.34,3.54,21.64,800,22,"['Maize', 'Chickpea', 'Okra']",Maize,110,600,35,50,80,6000,3436.37,0.8,0.8
2004,Ladakh,Kharif,Mountain,7.16,60.24,24.25,35.92,2.26,13.37,200,12,"['Soybean', 'Chickpea', 'Okra']",Soybean,100,500,25,35,50,2000,800.0,0.62,0.62
2006,Andaman and Nicobar Islands,Zaid,Alluvial,7.15,91.49,20.17,79.05,3.78,22.2,3000,30,"['Rice', 'Chickpea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,6050.79,0.86,0.87
2011,Karnataka,Rabi,Alluvial,6.86,84.76,38.16,68.11,2.73,19.2,900,23,"['Rice', 'Pigeon Pea', 'Cucumber']",Pigeon Pea,120,600,30,40,50,1800,2289.88,0.83,0.83
2005,Delhi,Rabi,Alluvial,7.02,110.37,20.4,55.93,3.43,19.45,700,24,"['Maize', 'Pigeon Pea', 'Okra']",Pigeon Pea,120,600,30,40,50,1800,1223.74,0.8,0.8
2006,Assam,Zaid,Alluvial,6.62,129.81,25.08,64.63,2.71,21.23,2200,18,"['Maize', 'Chickpea', 'Chili']",Chili,70,300,15,20,60,1500,2507.97,0.84,0.86
2000,Punjab,Zaid,Alluvial,7.2,107.45,29.1,54.02,4.43,18.74,600,23,"['Soybean', 'Pigeon Pea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,7200.0,0.86,0.87
2006,Goa,Zaid,Laterite,5.53,72.09,14.58,38.44,2.75,13.65,3000,28,"['Groundnut', 'Chickpea', 'Tomato']",Tomato,80,350,20,30,70,10000,7291.01,0.58,0.59
2012,Karnataka,Zaid,Laterite,5.68,81.42,19.59,33.04,2.4,5.12,900,23,"['Rice', 'Chickpea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,4956.34,0.52,0.53
2013,Assam,Kharif,Alluvial,6.62,121.03,34.5,76.14,2.51,15.74,2200,18,"['Soybean', 'Pigeon Pea', 'Tomato']",Soybean,100,500,25,35,50,2000,2759.97,0.84,0.84
2012,Mizoram,Zaid,Laterite,5.91,109.9,18.28,35.16,2.96,6.83,2200,14,"['Rice', 'Pigeon Pea', 'Tomato']",Tomato,80,350,20,30,70,10000,9139.75,0.6,0.61
2006,Tamil Nadu,Zaid,Red,5.8,69.06,28.69,41.69,2.9,12.01,950,27,"['Soybean', 'Chickpea', 'Tomato']",Tomato,80,350,20,30,70,10000,10851.91,0.64,0.65
2000,Sikkim,Zaid,Alluvial,6.59,99.04,33.35,79.24,3.82,22.21,2000,17,"['Soybean', 'Pigeon Pea', 'Chili']",Chili,70,300,15,20,60,1500,2723.49,0.91,0.92
2015,Dadra and Nagar Haveli,Zaid,Laterite,5.04,112.0,23.93,47.47,2.56,9.95,1800,25,"['Maize', 'Chickpea', 'Tomato']",Tomato,80,350,20,30,70,10000,11963.57,0.64,0.66
2002,Uttarakhand,Rabi,Alluvial,6.56,98.81,26.08,57.62,2.15,23.37,1100,18,"['Rice', 'Chickpea', 'Chili']",Chickpea,90,350,20,25,50,1000,1304.06,0.79,0.79
2013,Maharashtra,Kharif,Black,6.57,107.53,31.31,102.52,4.51,24.91,900,26,"['Maize', 'Pigeon Pea', 'Okra']",Maize,110,600,35,50,80,6000,5366.61,1.01,1.01
2016,West Bengal,Kharif,Alluvial,6.89,113.15,30.05,60.04,4.48,22.28,1500,20,"['Soybean', 'Chickpea', 'Tomato']",Soybean,100,500,25,35,50,2000,2403.84,0.91,0.91
2011,Chandigarh,Rabi,Alluvial,6.61,97.29,30.07,68.24,3.46,20.72,700,22,"['Groundnut', 'Pigeon Pea', 'Cucumber']",Pigeon Pea,120,600,30,40,50,1800,1803.91,0.85,0.86
2014,Mizoram,Rabi,Laterite,5.18,84.02,11.29,35.75,2.2,6.97,2200,14,"['Rice', 'Chickpea', 'Tomato']",Chickpea,90,350,20,25,50,1000,564.52,0.49,0.49
2016,Uttar Pradesh,Kharif,Alluvial,6.74,110.21,39.32,65.08,2.15,17.21,800,22,"['Rice', 'Pigeon Pea', 'Tomato']",Rice,140,1500,40,60,100,4000,2133.33,0.83,0.83
2001,Odisha,Kharif,Red,6.05,73.07,16.17,50.34,1.6,16.76,1500,25,"['Maize', 'Chickpea', 'Cucumber']",Maize,110,600,35,50,80,6000,2772.14,0.61,0.61
